Recycling,Lat,Long
F,42.29687,-71.05684
F,42.29617,-71.05661
F,42.29617,-71.05661
F,42.2965,-71.05624
F,42.2965,-71.05624
F,42.29588,-71.05658
F,42.29579,-71.05653
F,42.29579,-71.05653
F,42.29558,-71.05646
F,42.29463,-71.05631
F,42.29463,-71.05631
F,42.29463,-71.05631
F,42.29463,-71.05631
F,42.29463,-71.05631
F,42.29463,-71.05631
F,42.29463,-71.05631
F,42.29463,-71.05631
F,42.29463,-71.05631
F,42.29451,-71.05636
F,42.29451,-71.05636
F,42.29451,-71.05636
F,42.29451,-71.05636
F,42.29451,-71.05636
F,42.29451,-71.05636
F,42.29451,-71.05636
F,42.29454,-71.05675
F,42.29454,-71.05675
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29416,-71.05705
F,42.29416,-71.05705
F,42.29416,-71.05705
F,42.29416,-71.05705
F,42.29416,-71.05705
F,42.29374,-71.05727
F,42.29374,-71.05727
F,42.29374,-71.05727
F,42.29374,-71.05727
F,42.29374,-71.05727
F,42.29374,-71.05727
F,42.2935,-71.05742
F,42.2935,-71.05742
F,42.2935,-71.05742
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.29804,-71.05661
F,42.2975,-71.05694
F,42.29736,-71.0569
F,42.29755,-71.05622
F,42.297137,-71.056824
F,42.29687,-71.05684
F,42.296663,-71.056728
F,42.29665,-71.05628
F,42.29644,-71.05676
F,42.29644,-71.05676
F,42.29617,-71.05661
F,42.29602,-71.05656
F,42.29602,-71.05656
F,42.29602,-71.05656
F,42.29629,-71.05597
F,42.29579,-71.05653
F,42.29569,-71.05649
F,42.29614,-71.05593
F,42.29594,-71.05597
F,42.29594,-71.05597
F,42.29535,-71.05644
F,42.29524,-71.0564
F,42.29468,-71.05667
F,42.29454,-71.05675
F,42.29425,-71.05649
F,42.29406,-71.05664
F,42.29333,-71.05754
F,42.29333,-71.05754
F,42.29333,-71.05754
F,42.293,-71.05707
F,42.29212,-71.05708
F,42.29199,-71.05708
F,42.29268,-71.05752
F,42.29149,-71.05749
F,42.29117,-71.05729
F,42.29104,-71.05735
F,42.29104,-71.05735
F,42.29104,-71.05735
F,42.29104,-71.05735
F,42.29104,-71.05735
F,42.29099,-71.05754
F,42.29099,-71.05754
F,42.29099,-71.05754
F,42.29099,-71.05754
F,42.29093,-71.05773
F,42.29093,-71.05773
F,42.29093,-71.05773
F,42.29093,-71.05773
F,42.29075,-71.058
F,42.29075,-71.058
F,42.29075,-71.058
F,42.29075,-71.058
F,42.292184,-71.057611
F,42.292184,-71.057611
F,42.29161,-71.05754
F,42.29161,-71.05754
F,42.29149,-71.05749
F,42.29149,-71.05749
F,42.29117,-71.05729
F,42.29117,-71.05729
F,42.29078,-71.05699
F,42.2906,-71.05619
F,42.2906,-71.05619
F,42.2906,-71.05619
F,42.2906,-71.05619
F,42.29046,-71.05612
F,42.29029,-71.05602
F,42.29029,-71.05602
F,42.29016,-71.05596
F,42.29003,-71.05585
F,42.29003,-71.05585
F,42.28985,-71.05581
F,42.28985,-71.05581
F,42.2896,-71.05621
F,42.289834,-71.055808
F,42.28974,-71.05575
F,42.28964,-71.05569
F,42.289628,-71.055684
F,42.28953,-71.05563
F,42.28933,-71.05553
F,42.28933,-71.05553
F,42.28922,-71.0555
F,42.28922,-71.0555
F,42.28901,-71.05539
F,42.28901,-71.05539
F,42.28883,-71.05579
F,42.28883,-71.05579
F,42.28845,-71.0557
F,42.28845,-71.0557
F,42.299952,-71.058533
F,42.299168,-71.057538
F,42.358178,-71.134215
F,42.358264,-71.136363
F,42.35846,-71.13693
F,42.3586,-71.13629
F,42.358514,-71.135886
F,42.35864,-71.136519
F,42.35864,-71.136519
F,42.35864,-71.136519
F,42.35864,-71.136519
F,42.35843,-71.13531
F,42.35843,-71.13531
F,42.29069,-71.0582
F,42.29069,-71.0582
F,42.29069,-71.0582
F,42.29069,-71.0582
F,42.29089,-71.05704
F,42.29078,-71.05699
F,42.2906,-71.05619
F,42.29039,-71.05669
F,42.29028,-71.0566
F,42.29046,-71.05612
F,42.289774,-71.056295
F,42.28985,-71.05581
F,42.2896,-71.05621
F,42.28974,-71.05575
F,42.289424,-71.056133
F,42.28953,-71.05563
F,42.289279,-71.056066
F,42.28933,-71.05553
F,42.28922,-71.0555
F,42.28867,-71.0558
F,42.28867,-71.05532
F,42.28855,-71.05572
F,42.28855,-71.05572
F,42.28845,-71.0557
F,42.28835,-71.05562
F,42.35843,-71.13531
F,42.35828,-71.13586
F,42.358423,-71.13527
F,42.35821,-71.13568
F,42.35821,-71.13558
F,42.35824,-71.13547
F,42.358015,-71.134921
F,42.35864,-71.136519
F,42.35823,-71.134435
F,42.35797,-71.134753
F,42.358081,-71.133935
F,42.35778,-71.134019
F,42.35776,-71.13394
F,42.35769,-71.133839
F,42.358285,-71.134443
F,42.358695,-71.13653
F,42.358518,-71.135923
F,42.358146,-71.135831
F,42.358245,-71.134277
F,42.35846,-71.13693
F,42.35824,-71.13604
F,42.358484,-71.135592
F,42.35815,-71.13583
F,42.35815,-71.13583
F,42.35821,-71.13568
F,42.35821,-71.13558
F,42.35824,-71.13547
F,42.35824,-71.13547
F,42.35824,-71.13547
F,42.358206,-71.134329
F,42.358206,-71.134329
F,42.358153,-71.134117
F,42.357815,-71.134199
F,42.35769,-71.133839
F,42.358005,-71.1336
F,42.358005,-71.1336
F,42.35768,-71.1338
F,42.35846,-71.135192
F,42.287294,-71.061252
F,42.287277,-71.061323
F,42.287181,-71.061462
F,42.28729,-71.061061
F,42.287202,-71.061031
F,42.2872,-71.06147
F,42.2872,-71.06147
F,42.28729,-71.061061
F,42.298605,-71.057578
F,42.299073,-71.058029
F,42.288415,-71.05528
F,42.294035,-71.056627
F,42.294035,-71.056627
F,42.294035,-71.056627
F,42.294035,-71.056627
F,42.299143,-71.058146
F,42.298318,-71.057548
F,42.298464,-71.056686
F,42.297925,-71.057153
F,42.296632,-71.056874
F,42.295129,-71.055924
F,42.294508,-71.056248
F,42.294508,-71.056248
F,42.292319,-71.057665
F,42.292175,-71.057633
F,42.29203,-71.057607
F,42.291261,-71.057357
F,42.289751,-71.056405
F,42.288973,-71.055842
F,42.289008,-71.055401
F,42.288819,-71.055823
F,42.288562,-71.056195
F,42.288562,-71.056195
F,42.29523,-71.054266
F,42.29523,-71.054266
F,42.29496,-71.05422
F,42.29518,-71.05441
F,42.2948,-71.05462
F,42.29502,-71.05394
F,42.29499,-71.05409
F,42.29496,-71.05422
F,42.29486,-71.0545
F,42.29502,-71.05394
F,42.29502,-71.05394
F,42.29502,-71.05394
F,42.29241,-71.05668
F,42.29223,-71.0562
F,42.29209,-71.05613
F,42.29236,-71.05625
F,42.29218,-71.05658
F,42.29223,-71.0562
F,42.29197,-71.05649
F,42.29197,-71.05649
F,42.27694,-71.161
F,42.27723,-71.16116
F,42.27691,-71.16116
F,42.27715,-71.1614
F,42.27679,-71.16154
F,42.277149,-71.162181
F,42.27704,-71.16058
F,42.27742,-71.162
F,42.277366,-71.162366
F,42.27694,-71.16098
F,42.27694,-71.161
F,42.276725,-71.161742
F,42.27684,-71.16221
F,42.27667,-71.16185
F,42.27697,-71.162
F,42.29985,-71.05837
F,42.29985,-71.05837
F,42.29969,-71.05802
F,42.29916,-71.05816
F,42.299105,-71.05809
F,42.299105,-71.05809
F,42.299105,-71.05809
F,42.29805,-71.05721
F,42.29805,-71.05721
F,42.29805,-71.05721
F,42.29782,-71.05706
F,42.29764,-71.05705
F,42.29764,-71.05705
F,42.29764,-71.05705
F,42.2975,-71.05694
F,42.2975,-71.05694
F,42.2975,-71.05694
F,42.297337,-71.056895
F,42.29708,-71.05681
F,42.297059,-71.056801
F,42.297059,-71.056801
F,42.297059,-71.056801
F,42.29687,-71.05684
F,42.29687,-71.05684
F,42.29687,-71.05684
F,42.29687,-71.05684
F,42.29687,-71.05684
F,42.29666,-71.05629
F,42.29666,-71.05629
F,42.29665,-71.05628
F,42.29665,-71.05628
F,42.29617,-71.05661
F,42.29642,-71.05621
F,42.29642,-71.05621
F,42.29588,-71.05658
F,42.29588,-71.05658
F,42.29558,-71.05646
F,42.29513,-71.05597
F,42.29513,-71.05597
F,42.29463,-71.05631
F,42.29463,-71.05631
F,42.29463,-71.05631
F,42.29463,-71.05631
F,42.29463,-71.05631
F,42.29468,-71.05667
F,42.29468,-71.05667
F,42.29468,-71.05667
F,42.29451,-71.05636
F,42.29451,-71.05636
F,42.29451,-71.05636
F,42.29451,-71.05636
F,42.29451,-71.05636
F,42.29454,-71.05675
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29431,-71.05694
F,42.29416,-71.05705
F,42.29416,-71.05705
F,42.29416,-71.05705
F,42.29416,-71.05705
F,42.29416,-71.05705
F,42.29416,-71.05705
F,42.29416,-71.05705
F,42.29374,-71.05727
F,42.29374,-71.05727
F,42.29374,-71.05727
F,42.29374,-71.05727
F,42.29374,-71.05727
F,42.29374,-71.05727
F,42.29374,-71.05727
F,42.351009,-71.059721
F,42.350529,-71.059095
F,42.29229,-71.05708
F,42.29374,-71.05727
F,42.29374,-71.05727
F,42.29229,-71.05708
F,42.29229,-71.05708
F,42.29268,-71.05752
F,42.29161,-71.05754
F,42.29149,-71.05749
F,42.29117,-71.05729
F,42.29089,-71.05704
F,42.29089,-71.05704
F,42.29078,-71.05699
F,42.29039,-71.05669
F,42.29028,-71.0566
F,42.29028,-71.0566
F,42.29046,-71.05612
F,42.29016,-71.05596
F,42.29016,-71.05596
F,42.29016,-71.05596
F,42.289777,-71.056296
F,42.289777,-71.056296
F,42.289777,-71.056296
F,42.28985,-71.05581
F,42.28974,-71.05575
F,42.28974,-71.05575
F,42.28953,-71.05563
F,42.2893,-71.05612
F,42.289516,-71.055618
F,42.28933,-71.05553
F,42.28922,-71.0555
F,42.28898,-71.05584
F,42.28867,-71.05532
F,42.28867,-71.05532
F,42.28867,-71.05532
F,42.28845,-71.0557
F,42.35785,-71.13196
F,42.35792,-71.13248
F,42.35777,-71.1321
F,42.35768,-71.13224
F,42.357863,-71.132675
F,42.35816,-71.13193
F,42.357917,-71.131569
F,42.35814,-71.1321
F,42.35789,-71.13172
F,42.35785,-71.13196
F,42.35785,-71.13196
F,42.35792,-71.13248
F,42.289709,-71.061306
F,42.358286,-71.133774
F,42.358153,-71.133769
F,42.35857,-71.13613
F,42.35856,-71.13606
F,42.35852,-71.13595
F,42.35824,-71.13604
F,42.35864,-71.136519
F,42.357622,-71.132463
F,42.357622,-71.132463
F,42.35759,-71.1326
F,42.35759,-71.1326
F,42.358515,-71.134539
F,42.3589,-71.133667
F,42.35913,-71.13683
F,42.358977,-71.136107
F,42.358977,-71.136107
F,42.35947,-71.1367
F,42.358949,-71.135964
F,42.359311,-71.135857
F,42.35889,-71.13569
F,42.35909,-71.13671
F,42.359238,-71.1355
F,42.35888,-71.13559
F,42.358845,-71.135474
F,42.358845,-71.135474
F,42.358845,-71.135474
F,42.358816,-71.13529
F,42.358738,-71.134892
F,42.35907,-71.13464
F,42.35906,-71.136554
F,42.35903,-71.13449
F,42.35859,-71.13416
F,42.358913,-71.133838
F,42.358541,-71.133913
F,42.358508,-71.133709
F,42.359179,-71.13519
F,42.358746,-71.135079
F,42.359403,-71.136424
F,42.359395,-71.136383
F,42.35947,-71.1367
F,42.35947,-71.1367
F,42.35909,-71.13671
F,42.35888,-71.13559
F,42.358769,-71.135094
F,42.358769,-71.135094
F,42.358762,-71.135041
F,42.35903,-71.13449
F,42.35899,-71.13432
F,42.35864,-71.13436
F,42.35894,-71.13409
F,42.35892,-71.13388
F,42.359053,-71.136517
F,42.358541,-71.133913
F,42.358541,-71.133913
F,42.358541,-71.133913
F,42.3588,-71.13354
F,42.358495,-71.133637
F,42.358495,-71.133637
F,42.35876,-71.13338
F,42.35864,-71.136519
F,42.358505,-71.135728
F,42.358484,-71.135592
F,42.35839,-71.13673
F,42.358426,-71.135289
F,42.35815,-71.13583
F,42.358423,-71.13527
F,42.358351,-71.134902
F,42.3584,-71.136587
F,42.358312,-71.134748
F,42.358061,-71.135073
F,42.35827,-71.134588
F,42.358206,-71.134329
F,42.357925,-71.134585
F,42.358153,-71.134117
F,42.357815,-71.134199
F,42.357993,-71.133552
F,42.35861,-71.13635
F,42.35765,-71.133652
F,42.357607,-71.133396
F,42.357681,-71.133811
F,42.35824,-71.13604
F,42.35824,-71.13604
F,42.358505,-71.135728
F,42.358505,-71.135728
F,42.35821,-71.13568
F,42.35821,-71.13568
F,42.35821,-71.13558
F,42.35821,-71.13558
F,42.358061,-71.135073
F,42.358,-71.134877
F,42.35797,-71.134753
F,42.35823,-71.134435
F,42.35823,-71.134435
F,42.35809,-71.13397
F,42.35776,-71.13394
F,42.35776,-71.13394
F,42.35776,-71.13394
F,42.35768,-71.1338
F,42.357993,-71.133552
F,42.357607,-71.133396
F,42.35846,-71.135192
F,42.28706,-71.06097
F,42.28705,-71.0614
F,42.287186,-71.061025
F,42.287024,-71.061439
F,42.287181,-71.061462
F,42.28731,-71.06107
F,42.287077,-71.060976
F,42.28705,-71.0614
F,42.287186,-71.061025
F,42.29499,-71.05409
F,42.29523,-71.054266
F,42.29523,-71.054266
F,42.2949,-71.05436
F,42.29514,-71.05454
F,42.29486,-71.0545
F,42.29512,-71.05469
F,42.29512,-71.05469
F,42.29512,-71.05469
F,42.2948,-71.05462
F,42.2948,-71.05462
F,42.29207,-71.05654
F,42.29197,-71.05649
F,42.29248,-71.05631
F,42.2923,-71.05661
F,42.29223,-71.0562
F,42.265543,-71.156693
F,42.265625,-71.15677
F,42.265713,-71.156832
F,42.265805,-71.156894
F,42.26584,-71.15759
F,42.277263,-71.161877
F,42.27688,-71.16135
F,42.27708,-71.16167
F,42.2772,-71.16176
F,42.27735,-71.16061
F,42.27727,-71.1623
F,42.27736,-71.16235
F,42.27704,-71.16075
F,42.277366,-71.162366
F,42.2772,-71.16176
F,42.2772,-71.16176
F,42.27704,-71.16058
F,42.27704,-71.16058
F,42.277158,-71.161253
F,42.276524,-71.161968
F,42.276441,-71.161665
F,42.350406,-71.059958
F,42.325652,-71.06227
F,42.32565,-71.06227
F,42.357622,-71.132463
F,42.357989,-71.131356
F,42.35759,-71.1326
F,42.35819,-71.13174
F,42.35805,-71.13226
