Recycling,Lat,Long
T,42.339099,-71.06605
T,42.242929,-71.13274
T,42.2424,-71.13362
T,42.24239,-71.13355
T,42.2425,-71.13395
T,42.24241,-71.1337
T,42.24264,-71.13336
T,42.24273,-71.13361
T,42.24273,-71.13361
T,42.24273,-71.13361
T,42.24273,-71.13361
T,42.242525,-71.133042
T,42.242726,-71.132949
T,42.2833,-71.14226
T,42.2834,-71.14269
T,42.28328,-71.14281
T,42.28584,-71.13981
T,42.28298,-71.14263
T,42.282995,-71.143188
T,42.28286,-71.14273
T,42.2829,-71.1433
T,42.28224,-71.14403
T,42.28205,-71.14374
T,42.28213,-71.14415
T,42.28195,-71.14387
T,42.28203,-71.14429
T,42.28175,-71.14465
T,42.28156,-71.14436
T,42.28563,-71.14006
T,42.28564,-71.13952
T,42.28532,-71.14043
T,42.28533,-71.13992
T,42.28521,-71.14052
T,42.28523,-71.13999
T,42.28494,-71.1409
T,42.28482,-71.14048
T,42.28483,-71.14103
T,42.28472,-71.14063
T,42.28472,-71.14112
T,42.28451,-71.14138
T,42.28441,-71.14149
T,42.28442,-71.14094
T,42.28434,-71.14164
T,42.2842,-71.14176
T,42.2842,-71.14176
T,42.2842,-71.14176
T,42.28421,-71.14121
T,42.28397,-71.14144
T,42.317325,-71.11048
T,42.317766,-71.109466
T,42.31785,-71.10988
T,42.31767,-71.10953
T,42.317732,-71.11001
T,42.317732,-71.11001
T,42.317732,-71.11001
T,42.317732,-71.11001
T,42.317583,-71.110103
T,42.28397,-71.14144
T,42.28397,-71.14144
T,42.28397,-71.14144
T,42.28387,-71.14156
T,42.28382,-71.14228
T,42.2837,-71.14237
T,42.28362,-71.14246
T,42.28585,-71.13928
T,42.28585,-71.13928
T,42.28286,-71.14273
T,42.28286,-71.14273
T,42.28564,-71.13952
T,42.28564,-71.13952
T,42.28554,-71.13964
T,42.28554,-71.13964
T,42.28494,-71.1409
T,42.28494,-71.1409
T,42.28482,-71.14048
T,42.28482,-71.14048
T,42.28483,-71.14103
T,42.28483,-71.14103
T,42.28461,-71.14125
T,42.28451,-71.14138
T,42.28441,-71.14149
T,42.28442,-71.14094
T,42.28442,-71.14094
T,42.28407,-71.14133
T,42.28387,-71.14156
T,42.28387,-71.14156
T,42.284,-71.142
T,42.30921,-71.11839
T,42.30921,-71.11839
T,42.30921,-71.11839
T,42.30957,-71.11896
T,42.3096,-71.11857
T,42.3096,-71.11857
T,42.3096,-71.11857
T,42.30996,-71.11915
T,42.30996,-71.11915
T,42.30996,-71.11915
T,42.3101,-71.11917
T,42.310241,-71.119223
T,42.310241,-71.119223
T,42.310241,-71.119223
T,42.31027,-71.11885
T,42.30897,-71.11872
T,42.31076,-71.11944
T,42.31076,-71.11904
T,42.30917,-71.11881
T,42.30917,-71.11881
T,42.31049,-71.11933
T,42.31066,-71.11942
T,42.31066,-71.11942
T,42.30897,-71.11872
T,42.31741,-71.10969
T,42.31745,-71.11017
T,42.31745,-71.11017
T,42.31703,-71.10996
T,42.31703,-71.10996
T,42.31703,-71.10996
T,42.31703,-71.10996
T,42.316922,-71.110032
T,42.316892,-71.110047
T,42.31805,-71.10933
T,42.31813,-71.10967
T,42.3179,-71.1094
T,42.31777,-71.109445
T,42.317748,-71.110056
T,42.316729,-71.110167
T,42.316729,-71.110167
T,42.31741,-71.10969
T,42.317312,-71.109754
T,42.317312,-71.109754
T,42.31717,-71.10986
T,42.31728,-71.11026
T,42.31805,-71.10933
T,42.31805,-71.10933
T,42.31813,-71.10967
T,42.3179,-71.1094
T,42.31803,-71.10974
T,42.31803,-71.10974
T,42.31803,-71.10974
T,42.31812,-71.10992
T,42.31796,-71.11011
T,42.31805,-71.11023
T,42.31805,-71.11023
T,42.31313,-71.11749
T,42.31318,-71.11788
T,42.313,-71.11772
T,42.31334,-71.11775
T,42.31334,-71.11775
T,42.31334,-71.11775
T,42.341536,-71.074047
T,42.34222,-71.07418
T,42.34222,-71.07418
T,42.34222,-71.07418
T,42.34222,-71.07418
T,42.34222,-71.07418
T,42.34222,-71.07418
T,42.31201,-71.11086
T,42.31194,-71.11092
T,42.31194,-71.11092
T,42.31185,-71.111
T,42.31185,-71.111
T,42.31185,-71.111
T,42.28824,-71.06709
T,42.28871,-71.06686
T,42.28871,-71.06686
T,42.28871,-71.06686
T,42.2884,-71.06712
T,42.28851,-71.06719
T,42.28871,-71.0673
T,42.2859,-71.06517
T,42.28603,-71.06606
T,42.28623,-71.06542
T,42.28628,-71.06619
T,42.28648,-71.06563
T,42.28695,-71.0666
T,42.28708,-71.06593
T,42.28724,-71.06606
T,42.28717,-71.06656
T,42.2874,-71.06614
T,42.28767,-71.06689
T,42.28582,-71.06542
T,42.28797,-71.06642
T,42.28783,-71.06698
T,42.2883,-71.06664
T,42.28808,-71.06707
T,42.28847,-71.06674
T,42.28673,-71.066366
T,42.286,-71.06549
T,42.286,-71.06549
T,42.286,-71.06549
T,42.28587,-71.06595
T,42.28623,-71.06542
T,42.28623,-71.06542
T,42.28628,-71.06619
T,42.28653,-71.06631
T,42.28724,-71.06606
T,42.28724,-71.06606
T,42.28732,-71.06673
T,42.28732,-71.06673
T,42.28582,-71.06542
T,42.28783,-71.06698
T,42.28783,-71.06698
T,42.28808,-71.06707
T,42.331775,-71.078112
T,42.332344,-71.076012
T,42.331547,-71.077064
T,42.331594,-71.075855
T,42.337065,-71.07023
T,42.336985,-71.070366
T,42.336418,-71.071874
T,42.33181,-71.07511
T,42.332384,-71.074643
T,42.34214,-71.0643
T,42.345268,-71.061978
T,42.344855,-71.062191
T,42.34544,-71.06172
T,42.331329,-71.101858
T,42.331261,-71.101715
T,42.330537,-71.100242
T,42.330435,-71.10002
T,42.33277,-71.10501
T,42.33277,-71.10501
T,42.33277,-71.10501
T,42.33277,-71.10501
T,42.3302,-71.09918
T,42.3302,-71.09918
T,42.3302,-71.09918
T,42.33105,-71.10017
T,42.32989,-71.09772
T,42.33077,-71.10048
T,42.33083,-71.10062
T,42.331151,-71.101425
T,42.331059,-71.10017
T,42.329628,-71.097677
T,42.330926,-71.101036
T,42.330664,-71.100504
T,42.330536,-71.100226
T,42.3297,-71.09798
T,42.33001,-71.09795
T,42.33001,-71.09795
T,42.32974,-71.09817
T,42.32983,-71.09761
T,42.32983,-71.09761
T,42.33011,-71.09899
T,42.330275,-71.099358
T,42.33077,-71.10048
T,42.32966,-71.09789
T,42.32966,-71.09789
T,42.33088,-71.10076
T,42.33088,-71.10076
T,42.330475,-71.098838
T,42.24751,-71.12825
T,42.24785,-71.12833
T,42.247682,-71.127961
T,42.24782,-71.12819
T,42.24782,-71.12819
T,42.24782,-71.12819
T,42.24751,-71.12825
T,42.28311,-71.14875
T,42.28293,-71.14841
T,42.28308,-71.14796
T,42.28284,-71.14829
T,42.28276,-71.14816
T,42.272203,-71.147045
T,42.272399,-71.146915
T,42.27226,-71.147556
T,42.27219,-71.147646
T,42.27232,-71.14704
T,42.27278,-71.14686
T,42.27211,-71.14717
T,42.27206,-71.14771
T,42.27196,-71.14737
T,42.27164,-71.14759
T,42.27141,-71.14782
T,42.27129,-71.14778
T,42.27121,-71.14761
T,42.27211,-71.14717
T,42.340639,-71.064987
T,42.33997,-71.06477
T,42.33983,-71.06492
T,42.33974,-71.065
T,42.3388,-71.06639
T,42.338805,-71.06639
T,42.27234,-71.14749
T,42.338805,-71.06639
T,42.338805,-71.06639
T,42.33726,-71.06863
T,42.337218,-71.068686
T,42.337175,-71.068756
T,42.33274,-71.07481
T,42.33253,-71.07529
T,42.331975,-71.075318
T,42.331681,-71.07651
T,42.335311,-71.071604
T,42.338403,-71.066939
T,42.342845,-71.062948
T,42.3423,-71.06355
T,42.342238,-71.064278
T,42.33884,-71.066425
T,42.33589,-71.070844
T,42.335319,-71.071623
T,42.332916,-71.075546
T,42.33983,-71.06492
T,42.33983,-71.06492
T,42.33983,-71.06492
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33523,-71.07148
T,42.33523,-71.07148
T,42.33523,-71.07148
T,42.33523,-71.07148
T,42.33523,-71.07148
T,42.33338,-71.074349
T,42.333377,-71.074195
T,42.242448,-71.132792
T,42.24272,-71.13383
T,42.242474,-71.133886
T,42.24273,-71.13361
T,42.24244,-71.13382
T,42.242625,-71.133393
T,42.27211,-71.14717
T,42.27121,-71.14761
T,42.27234,-71.14749
T,42.24273,-71.13361
T,42.24273,-71.13361
T,42.24273,-71.13361
T,42.24273,-71.13361
T,42.242442,-71.133819
T,42.283586,-71.141919
T,42.283382,-71.142159
T,42.28585,-71.13928
T,42.28348,-71.14205
T,42.2835,-71.14258
T,42.283198,-71.142935
T,42.28317,-71.14241
T,42.283073,-71.143094
T,42.2831,-71.142497
T,42.28278,-71.14285
T,42.28267,-71.14303
T,42.28216,-71.14366
T,42.28575,-71.1394
T,42.28574,-71.13993
T,42.28185,-71.14401
T,42.28193,-71.14439
T,42.28175,-71.14411
T,42.28553,-71.14017
T,42.28554,-71.13964
T,42.2854,-71.14033
T,42.28543,-71.13977
T,42.28514,-71.14065
T,42.28513,-71.14012
T,42.28502,-71.14076
T,42.28493,-71.14039
T,42.28463,-71.14073
T,42.28461,-71.14125
T,42.28593,-71.13919
T,42.28452,-71.14086
T,42.2843,-71.14107
T,42.2843,-71.14107
T,42.2843,-71.14107
T,42.2842,-71.14176
T,42.28407,-71.14133
T,42.28411,-71.14188
T,42.28411,-71.14188
T,42.28411,-71.14188
T,42.284,-71.142
T,42.28381,-71.14167
T,42.28382,-71.14228
T,42.28382,-71.14228
T,42.28585,-71.13928
T,42.28278,-71.14285
T,42.28278,-71.14285
T,42.28575,-71.1394
T,42.28575,-71.1394
T,42.28575,-71.1394
T,42.28543,-71.13977
T,42.28543,-71.13977
T,42.28523,-71.13999
T,42.28523,-71.13999
T,42.28461,-71.14125
T,42.28593,-71.13919
T,42.28593,-71.13919
T,42.28451,-71.14138
T,42.28451,-71.14138
T,42.28434,-71.14164
T,42.28434,-71.14164
T,42.28407,-71.14133
T,42.28407,-71.14133
T,42.284,-71.142
T,42.30917,-71.11881
T,42.30931,-71.11887
T,42.30934,-71.11844
T,42.30944,-71.11891
T,42.30947,-71.11852
T,42.30971,-71.11901
T,42.30973,-71.11863
T,42.30984,-71.11906
T,42.30986,-71.11866
T,42.31,-71.11873
T,42.31014,-71.11875
T,42.31014,-71.11875
T,42.31014,-71.11875
T,42.31038,-71.11926
T,42.3104,-71.11889
T,42.31049,-71.11933
T,42.31054,-71.11897
T,42.31066,-71.11942
T,42.30934,-71.11844
T,42.30934,-71.11844
T,42.30986,-71.11866
T,42.30986,-71.11866
T,42.31049,-71.11933
T,42.30897,-71.11872
T,42.31076,-71.11904
T,42.31076,-71.11904
T,42.31194,-71.11092
T,42.31194,-71.11092
T,42.3119,-71.11096
T,42.3119,-71.11096
T,42.3119,-71.11096
T,42.311903,-71.110942
T,42.31201,-71.11086
T,42.31201,-71.11086
T,42.292572,-71.067269
T,42.2919,-71.06653
